,word1,word2,value,inW
0,cord,smile,0.02,0
1,rooster,voyage,0.04,0
2,noon,string,0.04,0
3,fruit,furnance,0.05,0
4,autograph,shore,0.06,0
5,automobile,wizard,0.11,0
6,mound,stove,0.14,0
7,grin,implement,0.18,0
8,asylum,fruit,0.19,0
9,asylum,monk,0.39,0
10,graveyard,madhouse,0.42,0
11,glass,magician,0.44,0
12,boy,rooster,0.44,0
13,cushion,jewel,0.45,0
14,monk,slave,0.57,0
15,asylum,cementery,0.79,0
16,coast,forest,0.85,1
17,grin,lad,0.88,0
18,shore,woodland,0.9,0
19,monk,oracle,0.91,0
20,boy,sage,0.96,0
21,automobile,cushion,0.97,0
22,mound,shore,0.97,0
23,lad,wizard,0.99,0
24,forest,graveyard,1.0,0
25,food,rooster,1.09,0
26,cementary,woodland,1.18,0
27,shore,voyage,1.22,0
28,bird,woodland,1.24,0
29,coast,hill,1.26,1
30,furnace,implement,1.37,0
31,crane,rooster,1.41,0
32,hill,woodland,1.48,0
33,car,journey,1.55,1
34,cementary,mound,1.69,0
35,glass,jewel,1.78,0
36,magician,oracle,1.82,0
37,crane,implement,2.37,0
38,brother,lad,2.41,0
39,sage,wizard,2.46,0
40,oracle,sage,2.61,0
41,bird,crane,2.63,0
42,bird,cock,2.63,0
43,food,fruit,2.69,1
44,brother,monk,2.74,0
45,asylum,madhouse,3.04,0
46,furnace,stove,3.11,0
47,magician,wizard,3.21,0
48,hill,mound,3.29,0
49,cord,string,3.41,0
50,glass,tumbler,3.45,0
51,grin,smile,3.46,0
52,serf,slave,3.46,0
53,journey,voyage,3.58,0
54,autograph,signature,3.59,0
55,coast,shore,3.6,1
56,forest,woodland,3.65,0
57,implement,tool,3.66,0
58,cock,rooster,3.68,0
59,boy,lad,3.82,0
60,cushion,pillow,3.84,0
61,cementery,graveyard,3.88,0
62,automobile,car,3.92,1
63,midday,noon,3.94,0
64,gem,jewel,3.94,0
